sp;nombre_campo;Hoja;Bosque;Th;Es;AF;UM;pf_hoja (g);ps_hoja (g);pf_madera (g);volf_madera (cm3);Indv
sp_7;3;1;Humedo;compuesta;0,178;20159;1483,9;4,0822;1,7488;5,1078;4,44;1
sp_7;3;2;Humedo;compuesta;0,194;17176;3457,2;4,4865;1,8722;5,1078;4,44;1
sp_7;3;3;Humedo;compuesta;0,198;19091,3;2548,2;4,5713;1,8021;5,1078;4,44;1
sp_7;3;4;Humedo;compuesta;0,183;15536,3;1465,9;4,1325;1,7047;5,1078;4,44;1
sp_7;3;5;Humedo;compuesta;0,189;24228,7;2093,4;5,782;2,6108;5,1078;4,44;1
sp_8;31;1;Humedo;simple;0,398;5641,6;5641,6;1,765;0,3296;2,314;2,31;1
sp_8;31;2;Humedo;simple;0,257;5814,9;5814,9;2,2045;0,429;2,314;2,31;1
sp_8;31;3;Humedo;simple;0,248;15292;15292;5,1854;1,2081;2,314;2,31;1
sp_8;32;1;Humedo;simple;0,189;4179,9;4179,9;0,9273;0,2777;1,984;1,96;1
sp_8;32;2;Humedo;simple;0,18;;;0,864;0,2991;1,984;1,96;1
sp_8;32;3;Humedo;simple;0,193;5442,5;5442,5;1,1595;0,3989;1,984;1,96;1
sp_8;32;4;Humedo;simple;0,223;4772,3;4772,3;1,0764;0,409;1,984;1,96;1
sp_8;32;5;Humedo;simple;0,206;6615,4;6615,4;1,3557;0,4669;1,984;1,96;1
sp_8;33;1;Humedo;simple;0,209;5905,8;5905,8;1,623;0,7254;2,0661;2,5;1
sp_8;33;2;Humedo;simple;0,217;5264,1;5264,1;1,815;0,7487;2,0661;2,5;1
sp_8;33;3;Humedo;simple;0,214;5328,3;5328,3;1,273;0,5176;2,0661;2,5;1
sp_8;33;4;Humedo;simple;0,218;8171,4;8171,4;1,3811;0,6172;2,0661;2,5;1
sp_8;34;1;Humedo;compuesta;0,169;10510,1;1004,2;1,9848;0,8201;9,4049;8,54;1
sp_8;34;2;Humedo;compuesta;0,157;8426,7;1203,1;1,344;0,5115;9,4049;8,54;1
sp_8;34;3;Humedo;compuesta;0,173;12527;1562,7;2,7525;1,0659;9,4049;8,54;1
sp_9;36;1;Humedo;simple;0,127;3180,6;3180,6;0,6295;0,2489;2,2076;1,84;1
sp_9;36;2;Humedo;simple;0,123;4019,6;4019,6;0,7512;0,3;2,2076;1,84;1
sp_9;36;3;Humedo;simple;0,135;3815;3815;0,6718;0,3024;2,2076;1,84;1
sp_9;36;4;Humedo;simple;0,134;3623;3623;0,563;0,2311;2,2076;1,84;1
sp_9;36;5;Humedo;simple;0,125;3695,8;3695,8;0,5554;0,2279;2,2076;1,84;1
sp_9;37;1;Humedo;simple;0,163;5908,1;5908,1;0,971;0,368;1,0902;0,96;2
sp_9;37;2;Humedo;simple;0,17;5147,6;5147,6;0,8065;0,327;1,0902;0,96;2
sp_9;37;3;Humedo;simple;0,165;5695,8;5695,8;0,9352;0,373;1,0902;0,96;2
sp_9;38;1;Humedo;simple;0,204;7187,5;7187,5;1,2182;0,3782;6,8319;6,32;1
sp_9;38;2;Humedo;simple;0,176;6221,4;6221,4;0,9384;0,2943;6,8319;6,32;1
sp_9;38;3;Humedo;simple;0,188;6174,8;6174,8;1,3608;0,4105;6,8319;6,32;1
sp_9;38;4;Humedo;simple;0,193;4922;4922;0,76;0,248;6,8319;6,32;1
sp_9;38;5;Humedo;simple;0,262;4898,3;4898,3;0,7876;0,2813;6,8319;6,32;1
sp_9;39;1;Humedo;simple;0,211;4559;4559;1,2068;0,4538;3,3125;3,76;3
sp_9;39;2;Humedo;simple;0,264;5228,1;5228,1;0,8527;0,3323;3,3125;3,76;3
